step,dummy,alg,-t,t,-mr,mr,-ma,ma,-mp,mp,-p,-k,k,-i,i,-d,d,-rq,rq,-rqsize,rqsize,-nwork,nwork,-nrq,nrq,-seqwidth,seqwidth,-trial,trial,-data,total insert succ,total erase succ,throughput,incl. queries,elapsed milliseconds,tree,footprint after prefilling,footprint at the end,footprint peak in prefill,footprint peak overall,MILLIS_TO_RUN,INS,DEL,MAXKEY,WORK_THREADS,RECLAIM_TYPE,ALLOC_TYPE,POOL_TYPE,WIDTH_SEQ,THREAD_BINDING,PREFILL,PAPI_L1_DCM,PAPI_L2_TCM,PAPI_L3_TCM,PAPI_TOT_CYC,PAPI_RES_STL,PAPI_TOT_ISR,allocated~5,deallocated~2,recycled~2,pool~2,reclaim~2,obj1type,obj1size,obj1allocated,obj2type,obj2size,obj2allocated,filename,cmd,machine
step1000,tapuz40,dsbench_hytm1,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,50,-d,50,-rq,0,-rqsize,256,-nwork,48,-nrq,0,-seqwidth,48,-trial,3,data,14341677,14309058,28650735,28650735,1000,,,,,,1000,50,50,100000,48,debra,new,none,,6,1,,,,,,,0,0,0,0,0,,,,,,,"step1000.tapuz40.dsbench_hytm1.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.50.-d.50.-rq.0.-rqsize.256.-nwork.48.-nrq.0.-seqwidth.48.-trial.3.data","   ./tapuz40.dsbench_hytm1 -t 1000 -mr debra -ma new -mp none -p -k 100000 -i 50 -d 50 -rq 0 -rqsize 256 -nwork 48 -nrq 0",tapuz40
step1001,tapuz40,dsbench_hytm1,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,50,-d,50,-rq,0,-rqsize,256,-nwork,48,-nrq,0,-seqwidth,48,-trial,4,data,14348246,14310336,28658582,28658582,1000,,,,,,1000,50,50,100000,48,debra,new,none,,6,1,,,,,,,0,0,0,0,0,,,,,,,"step1001.tapuz40.dsbench_hytm1.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.50.-d.50.-rq.0.-rqsize.256.-nwork.48.-nrq.0.-seqwidth.48.-trial.4.data","   ./tapuz40.dsbench_hytm1 -t 1000 -mr debra -ma new -mp none -p -k 100000 -i 50 -d 50 -rq 0 -rqsize 256 -nwork 48 -nrq 0",tapuz40
step1002,tapuz40,dsbench_hytm1,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,50,-d,50,-rq,0,-rqsize,256,-nwork,48,-nrq,0,-seqwidth,48,-trial,5,data,14494910,14451337,28946247,28946247,1000,,,,,,1000,50,50,100000,48,debra,new,none,,6,1,,,,,,,0,0,0,0,0,,,,,,,"step1002.tapuz40.dsbench_hytm1.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.50.-d.50.-rq.0.-rqsize.256.-nwork.48.-nrq.0.-seqwidth.48.-trial.5.data","   ./tapuz40.dsbench_hytm1 -t 1000 -mr debra -ma new -mp none -p -k 100000 -i 50 -d 50 -rq 0 -rqsize 256 -nwork 48 -nrq 0",tapuz40
step1003,tapuz40,dsbench_hytm1,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,50,-d,50,-rq,0,-rqsize,256,-nwork,47,-nrq,1,-seqwidth,48,-trial,0,data,7175964,7159718,14335682,14354383,1000,,,,,,1000,50,50,100000,47,debra,new,none,,6,1,,,,,,,0,0,0,0,0,,,,,,,"step1003.tapuz40.dsbench_hytm1.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.50.-d.50.-rq.0.-rqsize.256.-nwork.47.-nrq.1.-seqwidth.48.-trial.0.data","   ./tapuz40.dsbench_hytm1 -t 1000 -mr debra -ma new -mp none -p -k 100000 -i 50 -d 50 -rq 0 -rqsize 256 -nwork 47 -nrq 1",tapuz40
step1004,tapuz40,dsbench_hytm1,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,50,-d,50,-rq,0,-rqsize,256,-nwork,47,-nrq,1,-seqwidth,48,-trial,1,data,7258995,7241000,14499995,14518667,1000,,,,,,1000,50,50,100000,47,debra,new,none,,6,1,,,,,,,0,0,0,0,0,,,,,,,"step1004.tapuz40.dsbench_hytm1.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.50.-d.50.-rq.0.-rqsize.256.-nwork.47.-nrq.1.-seqwidth.48.-trial.1.data","   ./tapuz40.dsbench_hytm1 -t 1000 -mr debra -ma new -mp none -p -k 100000 -i 50 -d 50 -rq 0 -rqsize 256 -nwork 47 -nrq 1",tapuz40
step1005,tapuz40,dsbench_hytm1,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,50,-d,50,-rq,0,-rqsize,256,-nwork,47,-nrq,1,-seqwidth,48,-trial,2,data,6853452,6834347,13687799,13706755,1000,,,,,,1000,50,50,100000,47,debra,new,none,,6,1,,,,,,,0,0,0,0,0,,,,,,,"step1005.tapuz40.dsbench_hytm1.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.50.-d.50.-rq.0.-rqsize.256.-nwork.47.-nrq.1.-seqwidth.48.-trial.2.data","   ./tapuz40.dsbench_hytm1 -t 1000 -mr debra -ma new -mp none -p -k 100000 -i 50 -d 50 -rq 0 -rqsize 256 -nwork 47 -nrq 1",tapuz40
step1006,tapuz40,dsbench_hytm1,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,50,-d,50,-rq,0,-rqsize,256,-nwork,47,-nrq,1,-seqwidth,48,-trial,3,data,6438598,6422625,12861223,12878798,1000,,,,,,1000,50,50,100000,47,debra,new,none,,6,1,,,,,,,0,0,0,0,0,,,,,,,"step1006.tapuz40.dsbench_hytm1.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.50.-d.50.-rq.0.-rqsize.256.-nwork.47.-nrq.1.-seqwidth.48.-trial.3.data","   ./tapuz40.dsbench_hytm1 -t 1000 -mr debra -ma new -mp none -p -k 100000 -i 50 -d 50 -rq 0 -rqsize 256 -nwork 47 -nrq 1",tapuz40
step1007,tapuz40,dsbench_hytm1,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,50,-d,50,-rq,0,-rqsize,256,-nwork,47,-nrq,1,-seqwidth,48,-trial,4,data,7843338,7820827,15664165,15683688,1000,,,,,,1000,50,50,100000,47,debra,new,none,,6,1,,,,,,,0,0,0,0,0,,,,,,,"step1007.tapuz40.dsbench_hytm1.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.50.-d.50.-rq.0.-rqsize.256.-nwork.47.-nrq.1.-seqwidth.48.-trial.4.data","   ./tapuz40.dsbench_hytm1 -t 1000 -mr debra -ma new -mp none -p -k 100000 -i 50 -d 50 -rq 0 -rqsize 256 -nwork 47 -nrq 1",tapuz40
step1008,tapuz40,dsbench_hytm1,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,50,-d,50,-rq,0,-rqsize,256,-nwork,47,-nrq,1,-seqwidth,48,-trial,5,data,7471993,7453415,14925408,14944716,1000,,,,,,1000,50,50,100000,47,debra,new,none,,6,1,,,,,,,0,0,0,0,0,,,,,,,"step1008.tapuz40.dsbench_hytm1.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.50.-d.50.-rq.0.-rqsize.256.-nwork.47.-nrq.1.-seqwidth.48.-trial.5.data","   ./tapuz40.dsbench_hytm1 -t 1000 -mr debra -ma new -mp none -p -k 100000 -i 50 -d 50 -rq 0 -rqsize 256 -nwork 47 -nrq 1",tapuz40
step1009,tapuz40,dsbench_hytm2,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,0,-d,0,-rq,0,-rqsize,256,-nwork,1,-nrq,0,-seqwidth,48,-trial,0,data,,,0,1460499,1000,,,,,,1000,0,0,100000,1,debra,new,none,,6,1,,,,,,,0,0,0,0,0,,,,,,,"step1009.tapuz40.dsbench_hytm2.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.0.-d.0.-rq.0.-rqsize.256.-nwork.1.-nrq.0.-seqwidth.48.-trial.0.data","   ./tapuz40.dsbench_hytm2 -t 1000 -mr debra -ma new -mp none -p -k 100000 -i 0 -d 0 -rq 0 -rqsize 256 -nwork 1 -nrq 0",tapuz40
