mr,debra,,,,,,
i,5,,,,,,
nrq,0,,,,,,
,,,,,,,
Average of incl. queries,Column Labels,,,,,,
Row Labels,dsbench_hybridnorec,dsbench_hybridnorec_nonspec,dsbench_hytm1,dsbench_hytm2,dsbench_hytm2_nonspec,dsbench_hytm3,dsbench_tl2
1,2248082.333,688082.3333,2308499,88249,226249,2202832.333,1365499
3,4845475.667,1638871.5,5650208.167,238225.8333,642950,5456043.167,3718349.167
6,7312718.333,2590058,10967655.33,551318.1667,1325560.5,10596453.67,7433941.5
9,4240153,2069655,12200065.67,985203.1667,1888187.833,12043173,9430817.833
12,3660875.167,2047530.5,14437019,1481462.333,2585026.5,14219919.67,11954337.83
14,2319204.167,1375042.667,10562023.83,1285426.5,2967015,10473555.83,9132108.667
15,2154188,1280674.167,10903003,1432469.167,3200796,10705980.33,9170435.5
18,1741573.5,1230186.5,12390556.33,1628345.333,3760595.833,12043466.83,9665198.5
19,1661086,1211589.167,12503106,1946060.667,3812779.833,12400463.5,9669137.5
21,1521161.667,1166253,13437279,2163588.667,4318707,13119936.83,9801366
24,1428217.333,,15039441.67,2482553.667,4972769.667,14590232,10061049.83
28,1472999,,16531448.83,2373313.667,5639966.333,16522987.83,11125133.5
32,1536160.333,,18159852.67,3252477.667,6303338,18177457,11695918.83
36,1582781.333,,19016235,3559034.167,6775192.833,19630291.33,12278870.83
40,1668471.833,,21477544,3563985.833,7468266.5,21258736,12811459.17
44,1734781.5,,23202920.5,3994639.167,7773119.6,22760116.33,13419283.17
48,1790154.5,,25003086,3935092.667,8890616.167,24568793.33,14094406
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Row Labels,dsbench_hybridnorec,dsbench_hybridnorec_nonspec,dsbench_hytm1,dsbench_hytm2,dsbench_hytm2_nonspec,dsbench_hytm3,dsbench_tl2
1,2248082.333,688082.3333,2308499,88249,226249,2202832.333,1365499
3,4845475.667,1638871.5,5650208.167,238225.8333,642950,5456043.167,3718349.167
6,7312718.333,2590058,10967655.33,551318.1667,1325560.5,10596453.67,7433941.5
9,4240153,2069655,12200065.67,985203.1667,1888187.833,12043173,9430817.833
12,3660875.167,2047530.5,14437019,1481462.333,2585026.5,14219919.67,11954337.83
14,2319204.167,1375042.667,10562023.83,1285426.5,2967015,10473555.83,9132108.667
15,2154188,1280674.167,10903003,1432469.167,3200796,10705980.33,9170435.5
18,1741573.5,1230186.5,12390556.33,1628345.333,3760595.833,12043466.83,9665198.5
19,1661086,1211589.167,12503106,1946060.667,3812779.833,12400463.5,9669137.5
21,1521161.667,1166253,13437279,2163588.667,4318707,13119936.83,9801366
24,1428217.333,0,15039441.67,2482553.667,4972769.667,14590232,10061049.83
28,1472999,0,16531448.83,2373313.667,5639966.333,16522987.83,11125133.5
32,1536160.333,0,18159852.67,3252477.667,6303338,18177457,11695918.83
36,1582781.333,0,19016235,3559034.167,6775192.833,19630291.33,12278870.83
40,1668471.833,0,21477544,3563985.833,7468266.5,21258736,12811459.17
44,1734781.5,0,23202920.5,3994639.167,7773119.6,22760116.33,13419283.17
48,1790154.5,0,25003086,3935092.667,8890616.167,24568793.33,14094406
