step,dummy,alg,-t,t,-mr,mr,-ma,ma,-mp,mp,-p,-k,k,-i,i,-d,d,-rq,rq,-rqsize,rqsize,-nwork,nwork,-nrq,nrq,-seqwidth,seqwidth,-trial,trial,-data,total insert succ,total erase succ,throughput,incl. queries,elapsed milliseconds,tree,footprint after prefilling,footprint at the end,footprint peak in prefill,footprint peak overall,MILLIS_TO_RUN,INS,DEL,MAXKEY,WORK_THREADS,RECLAIM_TYPE,ALLOC_TYPE,POOL_TYPE,WIDTH_SEQ,THREAD_BINDING,PREFILL,PAPI_L1_DCM,PAPI_L2_TCM,PAPI_L3_TCM,PAPI_TOT_CYC,PAPI_RES_STL,PAPI_TOT_ISR,allocated~5,deallocated~2,recycled~2,pool~2,reclaim~2,obj1type,obj1size,obj1allocated,obj2type,obj2size,obj2allocated,filename,cmd,machine
step1000,cheshire-r07u05,dsbench_hytm2,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,10000,-i,20,-d,20,-rq,0,-rqsize,256,-nwork,27,-nrq,1,-seqwidth,48,-trial,3,data,474366,476043,950409,2373792,1000,,,,,,1000,20,20,10000,27,debra,new,none,,102,1,,,,,,,0,0,0,0,0,,,,,,,"step1000.cheshire-r07u05.dsbench_hytm2.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.10000.-i.20.-d.20.-rq.0.-rqsize.256.-nwork.27.-nrq.1.-seqwidth.48.-trial.3.data","timeout 4    ./cheshire-r07u05.dsbench_hytm2 -t 1000 -mr debra -ma new -mp none -p -k 10000 -i 20 -d 20 -rq 0 -rqsize 256 -nwork 27 -nrq 1",cheshire-r07u05
step1001,cheshire-r07u05,dsbench_hytm2,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,10000,-i,20,-d,20,-rq,0,-rqsize,256,-nwork,27,-nrq,1,-seqwidth,48,-trial,4,data,526869,525515,1052384,2626904,1000,,,,,,1000,20,20,10000,27,debra,new,none,,102,1,,,,,,,0,0,0,0,0,,,,,,,"step1001.cheshire-r07u05.dsbench_hytm2.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.10000.-i.20.-d.20.-rq.0.-rqsize.256.-nwork.27.-nrq.1.-seqwidth.48.-trial.4.data","timeout 4    ./cheshire-r07u05.dsbench_hytm2 -t 1000 -mr debra -ma new -mp none -p -k 10000 -i 20 -d 20 -rq 0 -rqsize 256 -nwork 27 -nrq 1",cheshire-r07u05
step1002,cheshire-r07u05,dsbench_hytm2,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,10000,-i,20,-d,20,-rq,0,-rqsize,256,-nwork,27,-nrq,1,-seqwidth,48,-trial,5,data,438652,439264,877916,2192015,1000,,,,,,1000,20,20,10000,27,debra,new,none,,102,1,,,,,,,0,0,0,0,0,,,,,,,"step1002.cheshire-r07u05.dsbench_hytm2.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.10000.-i.20.-d.20.-rq.0.-rqsize.256.-nwork.27.-nrq.1.-seqwidth.48.-trial.5.data","timeout 4    ./cheshire-r07u05.dsbench_hytm2 -t 1000 -mr debra -ma new -mp none -p -k 10000 -i 20 -d 20 -rq 0 -rqsize 256 -nwork 27 -nrq 1",cheshire-r07u05
step1003,cheshire-r07u05,dsbench_hytm2,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,10000,-i,20,-d,20,-rq,0,-rqsize,256,-nwork,32,-nrq,0,-seqwidth,48,-trial,0,data,638313,639275,1277588,3190887,1000,,,,,,1000,20,20,10000,32,debra,new,none,,102,1,,,,,,,0,0,0,0,0,,,,,,,"step1003.cheshire-r07u05.dsbench_hytm2.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.10000.-i.20.-d.20.-rq.0.-rqsize.256.-nwork.32.-nrq.0.-seqwidth.48.-trial.0.data","timeout 4    ./cheshire-r07u05.dsbench_hytm2 -t 1000 -mr debra -ma new -mp none -p -k 10000 -i 20 -d 20 -rq 0 -rqsize 256 -nwork 32 -nrq 0",cheshire-r07u05
step1004,cheshire-r07u05,dsbench_hytm2,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,10000,-i,20,-d,20,-rq,0,-rqsize,256,-nwork,32,-nrq,0,-seqwidth,48,-trial,1,data,450724,451733,902457,2253675,1000,,,,,,1000,20,20,10000,32,debra,new,none,,102,1,,,,,,,0,0,0,0,0,,,,,,,"step1004.cheshire-r07u05.dsbench_hytm2.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.10000.-i.20.-d.20.-rq.0.-rqsize.256.-nwork.32.-nrq.0.-seqwidth.48.-trial.1.data","timeout 4    ./cheshire-r07u05.dsbench_hytm2 -t 1000 -mr debra -ma new -mp none -p -k 10000 -i 20 -d 20 -rq 0 -rqsize 256 -nwork 32 -nrq 0",cheshire-r07u05
step1005,cheshire-r07u05,dsbench_hytm2,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,10000,-i,20,-d,20,-rq,0,-rqsize,256,-nwork,32,-nrq,0,-seqwidth,48,-trial,2,data,520253,519950,1040203,2597072,1000,,,,,,1000,20,20,10000,32,debra,new,none,,102,1,,,,,,,0,0,0,0,0,,,,,,,"step1005.cheshire-r07u05.dsbench_hytm2.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.10000.-i.20.-d.20.-rq.0.-rqsize.256.-nwork.32.-nrq.0.-seqwidth.48.-trial.2.data","timeout 4    ./cheshire-r07u05.dsbench_hytm2 -t 1000 -mr debra -ma new -mp none -p -k 10000 -i 20 -d 20 -rq 0 -rqsize 256 -nwork 32 -nrq 0",cheshire-r07u05
step1006,cheshire-r07u05,dsbench_hytm2,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,10000,-i,20,-d,20,-rq,0,-rqsize,256,-nwork,32,-nrq,0,-seqwidth,48,-trial,3,data,743869,742784,1486653,3710568,1000,,,,,,1000,20,20,10000,32,debra,new,none,,102,1,,,,,,,0,0,0,0,0,,,,,,,"step1006.cheshire-r07u05.dsbench_hytm2.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.10000.-i.20.-d.20.-rq.0.-rqsize.256.-nwork.32.-nrq.0.-seqwidth.48.-trial.3.data","timeout 4    ./cheshire-r07u05.dsbench_hytm2 -t 1000 -mr debra -ma new -mp none -p -k 10000 -i 20 -d 20 -rq 0 -rqsize 256 -nwork 32 -nrq 0",cheshire-r07u05
step1007,cheshire-r07u05,dsbench_hytm2,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,10000,-i,20,-d,20,-rq,0,-rqsize,256,-nwork,32,-nrq,0,-seqwidth,48,-trial,4,data,457029,457635,914664,2287361,1000,,,,,,1000,20,20,10000,32,debra,new,none,,102,1,,,,,,,0,0,0,0,0,,,,,,,"step1007.cheshire-r07u05.dsbench_hytm2.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.10000.-i.20.-d.20.-rq.0.-rqsize.256.-nwork.32.-nrq.0.-seqwidth.48.-trial.4.data","timeout 4    ./cheshire-r07u05.dsbench_hytm2 -t 1000 -mr debra -ma new -mp none -p -k 10000 -i 20 -d 20 -rq 0 -rqsize 256 -nwork 32 -nrq 0",cheshire-r07u05
step1008,cheshire-r07u05,dsbench_hytm2,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,10000,-i,20,-d,20,-rq,0,-rqsize,256,-nwork,32,-nrq,0,-seqwidth,48,-trial,5,data,417928,418241,836169,2089012,1000,,,,,,1000,20,20,10000,32,debra,new,none,,102,1,,,,,,,0,0,0,0,0,,,,,,,"step1008.cheshire-r07u05.dsbench_hytm2.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.10000.-i.20.-d.20.-rq.0.-rqsize.256.-nwork.32.-nrq.0.-seqwidth.48.-trial.5.data","timeout 4    ./cheshire-r07u05.dsbench_hytm2 -t 1000 -mr debra -ma new -mp none -p -k 10000 -i 20 -d 20 -rq 0 -rqsize 256 -nwork 32 -nrq 0",cheshire-r07u05
step1009,cheshire-r07u05,dsbench_hytm2,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,10000,-i,20,-d,20,-rq,0,-rqsize,256,-nwork,31,-nrq,1,-seqwidth,48,-trial,0,data,585713,582960,1168673,2923231,1000,,,,,,1000,20,20,10000,31,debra,new,none,,102,1,,,,,,,0,0,0,0,0,,,,,,,"step1009.cheshire-r07u05.dsbench_hytm2.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.10000.-i.20.-d.20.-rq.0.-rqsize.256.-nwork.31.-nrq.1.-seqwidth.48.-trial.0.data","timeout 4    ./cheshire-r07u05.dsbench_hytm2 -t 1000 -mr debra -ma new -mp none -p -k 10000 -i 20 -d 20 -rq 0 -rqsize 256 -nwork 31 -nrq 1",cheshire-r07u05
