step,host,alg,#NAME?,t,#NAME?,mr,#NAME?,ma,#NAME?,mp,#NAME?,#NAME?,k,#NAME?,i,#NAME?,d,#NAME?,rq,#NAME?,rqsize,#NAME?,nwork,#NAME?,nrq,#NAME?,seqwidth,#NAME?,trial,#NAME?,pinning,#NAME?,total insert succ,total erase succ,throughput,incl. queries,elapsed milliseconds,tree,footprint after prefilling,footprint at the end,footprint peak in prefill,footprint peak overall,MILLIS_TO_RUN,INS,DEL,MAXKEY,WORK_THREADS,RECLAIM_TYPE,ALLOC_TYPE,POOL_TYPE,WIDTH_SEQ,THREAD_BINDING,PREFILL,PAPI_L1_DCM,PAPI_L2_TCM,PAPI_L3_TCM,PAPI_TOT_CYC,PAPI_RES_STL,PAPI_TOT_INS,allocated~5,deallocated~2,recycled~2,pool~2,reclaim~2,total fast htm commit~2,total fast htm abort~2,total fallback commit~2,total fallback abort~2,seconds global lock is held~2,obj1type,obj1size,obj1allocated,obj2type,obj2size,obj2allocated,filename,cmd,machine
step1900,zyra,dsbench_hytm2_3path,#NAME?,10000,#NAME?,debra,#NAME?,new,#NAME?,none,#NAME?,#NAME?,100000,#NAME?,5,#NAME?,5,#NAME?,0,#NAME?,256,#NAME?,35,#NAME?,1,#NAME?,48,#NAME?,0,#NAME?,ZYRA_SCATTER,data,20353333,20350075,4070340,40656373,10000,,,,,,10000,51433.89,5,100000,35,debra,new,none,,8,1,,24.7533,0.210927,2341.29,,1433.89,,,,,,17929,406788053,205168,27956,0,,,,,,,step1900.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.35.-nrq.1.-seqwidth.48.-trial.0.-pinning.ZYRA_SCATTER.data,LD_PRELOAD=../lib/libjemalloc.so  time timeout 13 numactl --interleave=all ./zyra.dsbench_hytm2_3path -t 10000 -mr debra -ma new -mp none -p -k 100000 -i 5 -d 5 -rq 0 -rqsize 256 -nwork 35 -nrq 1 >> output.zyra.dsbench/step1900.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.35.-nrq.1.-seqwidth.48.-trial.0.-pinning.ZYRA_SCATTER.data 2>>output.zyra.dsbench/stderr.out,zyra
step1901,zyra,dsbench_hytm2_3path,#NAME?,10000,#NAME?,debra,#NAME?,new,#NAME?,none,#NAME?,#NAME?,100000,#NAME?,5,#NAME?,5,#NAME?,0,#NAME?,256,#NAME?,35,#NAME?,1,#NAME?,48,#NAME?,1,#NAME?,ZYRA_SCATTER,data,19875279,19870773,3974605,39694316,10000,,,,,,10000,51499.53,5,100000,35,debra,new,none,,8,1,,25.9543,0.206183,2393.55,,1499.53,,,,,,672412,396521203,215456,28831,0,,,,,,,step1901.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.35.-nrq.1.-seqwidth.48.-trial.1.-pinning.ZYRA_SCATTER.data,LD_PRELOAD=../lib/libjemalloc.so  time timeout 13 numactl --interleave=all ./zyra.dsbench_hytm2_3path -t 10000 -mr debra -ma new -mp none -p -k 100000 -i 5 -d 5 -rq 0 -rqsize 256 -nwork 35 -nrq 1 >> output.zyra.dsbench/step1901.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.35.-nrq.1.-seqwidth.48.-trial.1.-pinning.ZYRA_SCATTER.data 2>>output.zyra.dsbench/stderr.out,zyra
step1902,zyra,dsbench_hytm2_3path,#NAME?,10000,#NAME?,debra,#NAME?,new,#NAME?,none,#NAME?,#NAME?,100000,#NAME?,5,#NAME?,5,#NAME?,0,#NAME?,256,#NAME?,35,#NAME?,1,#NAME?,48,#NAME?,2,#NAME?,ZYRA_SCATTER,data,19880999,19890343,3977134,39716824,10000,,,,,,10000,51493.27,5,100000,35,debra,new,none,,8,1,,24.8775,0.260284,2408.16,,1493.27,,,,,,932963,396481880,201307,24900,0,,,,,,,step1902.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.35.-nrq.1.-seqwidth.48.-trial.2.-pinning.ZYRA_SCATTER.data,LD_PRELOAD=../lib/libjemalloc.so  time timeout 13 numactl --interleave=all ./zyra.dsbench_hytm2_3path -t 10000 -mr debra -ma new -mp none -p -k 100000 -i 5 -d 5 -rq 0 -rqsize 256 -nwork 35 -nrq 1 >> output.zyra.dsbench/step1902.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.35.-nrq.1.-seqwidth.48.-trial.2.-pinning.ZYRA_SCATTER.data 2>>output.zyra.dsbench/stderr.out,zyra
step1903,zyra,dsbench_hytm2_3path,#NAME?,10000,#NAME?,debra,#NAME?,new,#NAME?,none,#NAME?,#NAME?,100000,#NAME?,5,#NAME?,5,#NAME?,0,#NAME?,256,#NAME?,54,#NAME?,0,#NAME?,48,#NAME?,0,#NAME?,ZYRA_SCATTER,data,29129479,29130795,5826027,58190136,10000,,,,,,10000,51211.63,5,100000,54,debra,new,none,,8,1,,20.1105,0.886583,2448.09,,1211.63,,,,,,267223652,342946210,319488,1965,0,,,,,,,step1903.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.54.-nrq.0.-seqwidth.48.-trial.0.-pinning.ZYRA_SCATTER.data,LD_PRELOAD=../lib/libjemalloc.so  time timeout 13 numactl --interleave=all ./zyra.dsbench_hytm2_3path -t 10000 -mr debra -ma new -mp none -p -k 100000 -i 5 -d 5 -rq 0 -rqsize 256 -nwork 54 -nrq 0 >> output.zyra.dsbench/step1903.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.54.-nrq.0.-seqwidth.48.-trial.0.-pinning.ZYRA_SCATTER.data 2>>output.zyra.dsbench/stderr.out,zyra
step1904,zyra,dsbench_hytm2_3path,#NAME?,10000,#NAME?,debra,#NAME?,new,#NAME?,none,#NAME?,#NAME?,100000,#NAME?,5,#NAME?,5,#NAME?,0,#NAME?,256,#NAME?,54,#NAME?,0,#NAME?,48,#NAME?,1,#NAME?,ZYRA_SCATTER,data,29438735,29429079,5886781,58796099,10000,,,,,,10000,51191.59,5,100000,54,debra,new,none,,8,1,,20.4792,0.935454,2424.71,,1191.59,,,,,,267302296,348582217,323292,1692,0,,,,,,,step1904.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.54.-nrq.0.-seqwidth.48.-trial.1.-pinning.ZYRA_SCATTER.data,LD_PRELOAD=../lib/libjemalloc.so  time timeout 13 numactl --interleave=all ./zyra.dsbench_hytm2_3path -t 10000 -mr debra -ma new -mp none -p -k 100000 -i 5 -d 5 -rq 0 -rqsize 256 -nwork 54 -nrq 0 >> output.zyra.dsbench/step1904.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.54.-nrq.0.-seqwidth.48.-trial.1.-pinning.ZYRA_SCATTER.data 2>>output.zyra.dsbench/stderr.out,zyra
step1905,zyra,dsbench_hytm2_3path,#NAME?,10000,#NAME?,debra,#NAME?,new,#NAME?,none,#NAME?,#NAME?,100000,#NAME?,5,#NAME?,5,#NAME?,0,#NAME?,256,#NAME?,54,#NAME?,0,#NAME?,48,#NAME?,2,#NAME?,ZYRA_SCATTER,data,29484976,29482886,5896786,58893244,10000,,,,,,10000,51159.9,5,100000,54,debra,new,none,,8,1,,20.3167,0.916951,2412.66,,1159.9,,,,,,270212656,348492726,322701,1816,0,,,,,,,step1905.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.54.-nrq.0.-seqwidth.48.-trial.2.-pinning.ZYRA_SCATTER.data,LD_PRELOAD=../lib/libjemalloc.so  time timeout 13 numactl --interleave=all ./zyra.dsbench_hytm2_3path -t 10000 -mr debra -ma new -mp none -p -k 100000 -i 5 -d 5 -rq 0 -rqsize 256 -nwork 54 -nrq 0 >> output.zyra.dsbench/step1905.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.54.-nrq.0.-seqwidth.48.-trial.2.-pinning.ZYRA_SCATTER.data 2>>output.zyra.dsbench/stderr.out,zyra
step1906,zyra,dsbench_hytm2_3path,#NAME?,10000,#NAME?,debra,#NAME?,new,#NAME?,none,#NAME?,#NAME?,100000,#NAME?,5,#NAME?,5,#NAME?,0,#NAME?,256,#NAME?,53,#NAME?,1,#NAME?,48,#NAME?,0,#NAME?,ZYRA_SCATTER,data,27904235,27895698,5579993,55741427,10000,,,,,,10000,51571.17,5,100000,53,debra,new,none,,8,1,,26.5139,0.931445,2554.85,,1571.17,,,,,,908432,557977713,317868,39277,0,,,,,,,step1906.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.53.-nrq.1.-seqwidth.48.-trial.0.-pinning.ZYRA_SCATTER.data,LD_PRELOAD=../lib/libjemalloc.so  time timeout 13 numactl --interleave=all ./zyra.dsbench_hytm2_3path -t 10000 -mr debra -ma new -mp none -p -k 100000 -i 5 -d 5 -rq 0 -rqsize 256 -nwork 53 -nrq 1 >> output.zyra.dsbench/step1906.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.53.-nrq.1.-seqwidth.48.-trial.0.-pinning.ZYRA_SCATTER.data 2>>output.zyra.dsbench/stderr.out,zyra
step1907,zyra,dsbench_hytm2_3path,#NAME?,10000,#NAME?,debra,#NAME?,new,#NAME?,none,#NAME?,#NAME?,100000,#NAME?,5,#NAME?,5,#NAME?,0,#NAME?,256,#NAME?,53,#NAME?,1,#NAME?,48,#NAME?,1,#NAME?,ZYRA_SCATTER,data,22115125,22104872,4421999,44178247,10000,,,,,,10000,51907.1,5,100000,53,debra,new,none,,8,1,,26.5176,0.92839,3228.69,,1907.1,,,,,,698092,442076557,259330,35244,0,,,,,,,step1907.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.53.-nrq.1.-seqwidth.48.-trial.1.-pinning.ZYRA_SCATTER.data,LD_PRELOAD=../lib/libjemalloc.so  time timeout 13 numactl --interleave=all ./zyra.dsbench_hytm2_3path -t 10000 -mr debra -ma new -mp none -p -k 100000 -i 5 -d 5 -rq 0 -rqsize 256 -nwork 53 -nrq 1 >> output.zyra.dsbench/step1907.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.53.-nrq.1.-seqwidth.48.-trial.1.-pinning.ZYRA_SCATTER.data 2>>output.zyra.dsbench/stderr.out,zyra
step1908,zyra,dsbench_hytm2_3path,#NAME?,10000,#NAME?,debra,#NAME?,new,#NAME?,none,#NAME?,#NAME?,100000,#NAME?,5,#NAME?,5,#NAME?,0,#NAME?,256,#NAME?,53,#NAME?,1,#NAME?,48,#NAME?,2,#NAME?,ZYRA_SCATTER,data,27929957,27931737,5586169,55800094,10000,,,,,,10000,51562.38,5,100000,53,debra,new,none,,8,1,,25.9045,0.939,2552.48,,1562.38,,,,,,1214343,558417345,324595,41073,0,,,,,,,step1908.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.53.-nrq.1.-seqwidth.48.-trial.2.-pinning.ZYRA_SCATTER.data,LD_PRELOAD=../lib/libjemalloc.so  time timeout 13 numactl --interleave=all ./zyra.dsbench_hytm2_3path -t 10000 -mr debra -ma new -mp none -p -k 100000 -i 5 -d 5 -rq 0 -rqsize 256 -nwork 53 -nrq 1 >> output.zyra.dsbench/step1908.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.53.-nrq.1.-seqwidth.48.-trial.2.-pinning.ZYRA_SCATTER.data 2>>output.zyra.dsbench/stderr.out,zyra
step1909,zyra,dsbench_hytm2_3path,#NAME?,10000,#NAME?,debra,#NAME?,new,#NAME?,none,#NAME?,#NAME?,100000,#NAME?,5,#NAME?,5,#NAME?,0,#NAME?,256,#NAME?,72,#NAME?,0,#NAME?,48,#NAME?,0,#NAME?,ZYRA_SCATTER,data,34404937,34410547,6881548,68720399,10000,,,,,,10000,51286.69,5,100000,72,debra,new,none,,8,1,,21.841,0.911092,2755.81,,1286.69,,,,,,239482315,478389914,385902,2944,0,,,,,,,step1909.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.72.-nrq.0.-seqwidth.48.-trial.0.-pinning.ZYRA_SCATTER.data,LD_PRELOAD=../lib/libjemalloc.so  time timeout 13 numactl --interleave=all ./zyra.dsbench_hytm2_3path -t 10000 -mr debra -ma new -mp none -p -k 100000 -i 5 -d 5 -rq 0 -rqsize 256 -nwork 72 -nrq 0 >> output.zyra.dsbench/step1909.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.72.-nrq.0.-seqwidth.48.-trial.0.-pinning.ZYRA_SCATTER.data 2>>output.zyra.dsbench/stderr.out,zyra
