step,host,alg,-t,t,-mr,mr,-ma,ma,-mp,mp,-p,-k,k,-i,i,-d,d,-rq,rq,-rqsize,rqsize,-nwork,nwork,-nrq,nrq,-seqwidth,seqwidth,-trial,trial,-pinning,pinning,-data,total insert succ,total erase succ,throughput,incl. queries,elapsed milliseconds,tree,footprint after prefilling,footprint at the end,footprint peak in prefill,footprint peak overall,MILLIS_TO_RUN,INS,DEL,MAXKEY,WORK_THREADS,RECLAIM_TYPE,ALLOC_TYPE,POOL_TYPE,WIDTH_SEQ,THREAD_BINDING,PREFILL,PAPI_L1_DCM,PAPI_L2_TCM,PAPI_L3_TCM,PAPI_TOT_CYC,PAPI_RES_STL,PAPI_TOT_INS,allocated~5,deallocated~2,recycled~2,pool~2,reclaim~2,total fast htm commit~2,total fast htm abort~2,total fallback commit~2,total fallback abort~2,seconds global lock is held~2,obj1type,obj1size,obj1allocated,obj2type,obj2size,obj2allocated,filename,cmd,machine
step1900,zyra,dsbench_hytm2_3path,-t,10000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,5,-d,5,-rq,0,-rqsize,256,-nwork,35,-nrq,1,-seqwidth,48,-trial,0,-pinning,ZYRA_SCATTER,data,23759607,23757235,4751684,47473718,10000,,,,,,10000,51569.84,5,100000,35,debra,new,none,,7,1,,24.9372,1.40388,2266.62,,1569.84,,,,,,431428 ,474892975 ,279137 ,39983 ,0 ,,,,,,,"step1900.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.35.-nrq.1.-seqwidth.48.-trial.0.-pinning.ZYRA_SCATTER.data","LD_PRELOAD=../lib/libjemalloc.so  time timeout 13 numactl --interleave=all ./zyra.dsbench_hytm2_3path -t 10000 -mr debra -ma new -mp none -p -k 100000 -i 5 -d 5 -rq 0 -rqsize 256 -nwork 35 -nrq 1 >> output.zyra.dsbench/step1900.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.35.-nrq.1.-seqwidth.48.-trial.0.-pinning.ZYRA_SCATTER.data 2>>output.zyra.dsbench/stderr.out",zyra
step1901,zyra,dsbench_hytm2_3path,-t,10000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,5,-d,5,-rq,0,-rqsize,256,-nwork,35,-nrq,1,-seqwidth,48,-trial,1,-pinning,ZYRA_SCATTER,data,23500194,23491238,4699143,46932255,10000,,,,,,10000,51618.89,5,100000,35,debra,new,none,,7,1,,26.1397,1.38229,2303.37,,1618.89,,,,,,1760264 ,468104235 ,279941 ,36791 ,0 ,,,,,,,"step1901.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.35.-nrq.1.-seqwidth.48.-trial.1.-pinning.ZYRA_SCATTER.data","LD_PRELOAD=../lib/libjemalloc.so  time timeout 13 numactl --interleave=all ./zyra.dsbench_hytm2_3path -t 10000 -mr debra -ma new -mp none -p -k 100000 -i 5 -d 5 -rq 0 -rqsize 256 -nwork 35 -nrq 1 >> output.zyra.dsbench/step1901.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.35.-nrq.1.-seqwidth.48.-trial.1.-pinning.ZYRA_SCATTER.data 2>>output.zyra.dsbench/stderr.out",zyra
step1902,zyra,dsbench_hytm2_3path,-t,10000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,5,-d,5,-rq,0,-rqsize,256,-nwork,35,-nrq,1,-seqwidth,48,-trial,2,-pinning,ZYRA_SCATTER,data,23199638,23199894,4639953,46341146,10000,,,,,,10000,51696.68,5,100000,35,debra,new,none,,7,1,,25.4655,1.35126,2339.87,,1696.68,,,,,,384810 ,464283838 ,279203 ,38439 ,0 ,,,,,,,"step1902.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.35.-nrq.1.-seqwidth.48.-trial.2.-pinning.ZYRA_SCATTER.data","LD_PRELOAD=../lib/libjemalloc.so  time timeout 13 numactl --interleave=all ./zyra.dsbench_hytm2_3path -t 10000 -mr debra -ma new -mp none -p -k 100000 -i 5 -d 5 -rq 0 -rqsize 256 -nwork 35 -nrq 1 >> output.zyra.dsbench/step1902.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.35.-nrq.1.-seqwidth.48.-trial.2.-pinning.ZYRA_SCATTER.data 2>>output.zyra.dsbench/stderr.out",zyra
step1903,zyra,dsbench_hytm2_3path,-t,10000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,5,-d,5,-rq,0,-rqsize,256,-nwork,54,-nrq,0,-seqwidth,48,-trial,0,-pinning,ZYRA_SCATTER,data,35944849,35941122,7188597,71805612,10000,,,,,,10000,51207.11,5,100000,54,debra,new,none,,7,1,,19.3883,1.09015,2055.09,,1207.11,,,,,,346290482 ,409252171 ,409069 ,3737 ,0 ,,,,,,,"step1903.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.54.-nrq.0.-seqwidth.48.-trial.0.-pinning.ZYRA_SCATTER.data","LD_PRELOAD=../lib/libjemalloc.so  time timeout 13 numactl --interleave=all ./zyra.dsbench_hytm2_3path -t 10000 -mr debra -ma new -mp none -p -k 100000 -i 5 -d 5 -rq 0 -rqsize 256 -nwork 54 -nrq 0 >> output.zyra.dsbench/step1903.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.54.-nrq.0.-seqwidth.48.-trial.0.-pinning.ZYRA_SCATTER.data 2>>output.zyra.dsbench/stderr.out",zyra
step1904,zyra,dsbench_hytm2_3path,-t,10000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,5,-d,5,-rq,0,-rqsize,256,-nwork,54,-nrq,0,-seqwidth,48,-trial,1,-pinning,ZYRA_SCATTER,data,35025857,35015300,7004115,69936631,10000,,,,,,10000,51184.95,5,100000,54,debra,new,none,,7,1,,19.2992,1.11355,2105.94,,1184.95,,,,,,343084099 ,404780569 ,397280 ,3358 ,0 ,,,,,,,"step1904.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.54.-nrq.0.-seqwidth.48.-trial.1.-pinning.ZYRA_SCATTER.data","LD_PRELOAD=../lib/libjemalloc.so  time timeout 13 numactl --interleave=all ./zyra.dsbench_hytm2_3path -t 10000 -mr debra -ma new -mp none -p -k 100000 -i 5 -d 5 -rq 0 -rqsize 256 -nwork 54 -nrq 0 >> output.zyra.dsbench/step1904.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.54.-nrq.0.-seqwidth.48.-trial.1.-pinning.ZYRA_SCATTER.data 2>>output.zyra.dsbench/stderr.out",zyra
step1905,zyra,dsbench_hytm2_3path,-t,10000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,5,-d,5,-rq,0,-rqsize,256,-nwork,54,-nrq,0,-seqwidth,48,-trial,2,-pinning,ZYRA_SCATTER,data,35385537,35398943,7078448,70696431,10000,,,,,,10000,51267.02,5,100000,54,debra,new,none,,7,1,,19.4306,1.13807,2080.86,,1267.02,,,,,,327624775 ,414803298 ,405147 ,3920 ,0 ,,,,,,,"step1905.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.54.-nrq.0.-seqwidth.48.-trial.2.-pinning.ZYRA_SCATTER.data","LD_PRELOAD=../lib/libjemalloc.so  time timeout 13 numactl --interleave=all ./zyra.dsbench_hytm2_3path -t 10000 -mr debra -ma new -mp none -p -k 100000 -i 5 -d 5 -rq 0 -rqsize 256 -nwork 54 -nrq 0 >> output.zyra.dsbench/step1905.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.54.-nrq.0.-seqwidth.48.-trial.2.-pinning.ZYRA_SCATTER.data 2>>output.zyra.dsbench/stderr.out",zyra
step1906,zyra,dsbench_hytm2_3path,-t,10000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,5,-d,5,-rq,0,-rqsize,256,-nwork,53,-nrq,1,-seqwidth,48,-trial,0,-pinning,ZYRA_SCATTER,data,32063165,32069750,6413291,64050236,10000,,,,,,10000,51627.6,5,100000,53,debra,new,none,,7,1,,26.0014,1.34651,2298.92,,1627.6,,,,,,748048 ,641310837 ,386685 ,51177 ,0 ,,,,,,,"step1906.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.53.-nrq.1.-seqwidth.48.-trial.0.-pinning.ZYRA_SCATTER.data","LD_PRELOAD=../lib/libjemalloc.so  time timeout 13 numactl --interleave=all ./zyra.dsbench_hytm2_3path -t 10000 -mr debra -ma new -mp none -p -k 100000 -i 5 -d 5 -rq 0 -rqsize 256 -nwork 53 -nrq 1 >> output.zyra.dsbench/step1906.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.53.-nrq.1.-seqwidth.48.-trial.0.-pinning.ZYRA_SCATTER.data 2>>output.zyra.dsbench/stderr.out",zyra
step1907,zyra,dsbench_hytm2_3path,-t,10000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,5,-d,5,-rq,0,-rqsize,256,-nwork,53,-nrq,1,-seqwidth,48,-trial,1,-pinning,ZYRA_SCATTER,data,30472277,30474189,6094646,60877174,10000,,,,,,10000,51627.91,5,100000,53,debra,new,none,,7,1,,26.4401,1.35194,2401.26,,1627.91,,,,,,704549 ,609261156 ,356950 ,51449 ,0 ,,,,,,,"step1907.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.53.-nrq.1.-seqwidth.48.-trial.1.-pinning.ZYRA_SCATTER.data","LD_PRELOAD=../lib/libjemalloc.so  time timeout 13 numactl --interleave=all ./zyra.dsbench_hytm2_3path -t 10000 -mr debra -ma new -mp none -p -k 100000 -i 5 -d 5 -rq 0 -rqsize 256 -nwork 53 -nrq 1 >> output.zyra.dsbench/step1907.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.53.-nrq.1.-seqwidth.48.-trial.1.-pinning.ZYRA_SCATTER.data 2>>output.zyra.dsbench/stderr.out",zyra
step1908,zyra,dsbench_hytm2_3path,-t,10000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,5,-d,5,-rq,0,-rqsize,256,-nwork,53,-nrq,1,-seqwidth,48,-trial,2,-pinning,ZYRA_SCATTER,data,32439864,32440455,6488031,64804028,10000,,,,,,10000,51562.91,5,100000,53,debra,new,none,,7,1,,26.4704,1.32451,2277.24,,1562.91,,,,,,438901 ,649189561 ,389781 ,52276 ,0 ,,,,,,,"step1908.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.53.-nrq.1.-seqwidth.48.-trial.2.-pinning.ZYRA_SCATTER.data","LD_PRELOAD=../lib/libjemalloc.so  time timeout 13 numactl --interleave=all ./zyra.dsbench_hytm2_3path -t 10000 -mr debra -ma new -mp none -p -k 100000 -i 5 -d 5 -rq 0 -rqsize 256 -nwork 53 -nrq 1 >> output.zyra.dsbench/step1908.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.53.-nrq.1.-seqwidth.48.-trial.2.-pinning.ZYRA_SCATTER.data 2>>output.zyra.dsbench/stderr.out",zyra
step1909,zyra,dsbench_hytm2_3path,-t,10000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,5,-d,5,-rq,0,-rqsize,256,-nwork,72,-nrq,0,-seqwidth,48,-trial,0,-pinning,ZYRA_SCATTER,data,43084414,43087444,8617185,86058206,10000,,,,,,10000,51238.71,5,100000,72,debra,new,none,,7,1,,21.0054,1.18222,2202.77,,1238.71,,,,,,335087249 ,595371310 ,504409 ,8719 ,0 ,,,,,,,"step1909.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.72.-nrq.0.-seqwidth.48.-trial.0.-pinning.ZYRA_SCATTER.data","LD_PRELOAD=../lib/libjemalloc.so  time timeout 13 numactl --interleave=all ./zyra.dsbench_hytm2_3path -t 10000 -mr debra -ma new -mp none -p -k 100000 -i 5 -d 5 -rq 0 -rqsize 256 -nwork 72 -nrq 0 >> output.zyra.dsbench/step1909.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.72.-nrq.0.-seqwidth.48.-trial.0.-pinning.ZYRA_SCATTER.data 2>>output.zyra.dsbench/stderr.out",zyra
